year,qdistance,qtime,avg_delay
2000,3,11,102.1477272727272727
2000,3,12,126.2240000000000000
2000,3,13,137.8039215686274510
2000,3,14,152.6818181818181818
2000,3,15,229.6666666666666667
2000,3,16,182.3333333333333333
2000,3,17,178.3333333333333333
2000,3,18,189.0000000000000000
2000,3,19,215.0000000000000000
2000,3,20,
2000,4,1,10.8653846153846154
2000,4,2,7.2900182089058103
2000,4,3,7.9221342661472589
2000,4,4,9.4594610372930435
2000,4,5,11.8503273050038833
2000,4,6,16.1012220713492161
2000,4,7,22.1314961620737385
2000,4,8,30.0477178423236515
2000,4,9,41.8487972508591065
2000,4,10,58.5973813420621931
2000,4,11,77.4813559322033898
2000,4,12,87.8905109489051095
2000,4,13,107.4736842105263158
2000,4,14,111.8214285714285714
2000,4,15,148.7142857142857143
2000,4,16,105.0000000000000000
2000,4,17,188.0000000000000000
2000,4,18,280.6666666666666667
2000,4,19,
2000,4,20,488.0000000000000000
2000,5,1,13.7466666666666667
2000,5,2,9.8121590023382697
2000,5,3,7.6581990912845931
2000,5,4,8.1599020054694622
2000,5,5,9.8018287195363404
2000,5,6,12.0946890771866463
2000,5,7,15.3146051580777000
2000,5,8,22.0775241875465145
2000,5,9,35.5163316582914573
2000,5,10,51.7097480832420591
2000,5,11,65.9448621553884712
2000,5,12,84.2031250000000000
2000,5,13,92.8659793814432990
2000,5,14,98.6875000000000000
2000,5,15,100.2727272727272727
2000,5,16,157.2500000000000000
2000,5,17,183.6666666666666667
2000,5,19,
2000,5,20,415.0000000000000000
2000,6,1,17.2702702702702703
2000,6,2,15.6289308176100629
2000,6,3,9.6053841103086014
2000,6,4,9.2021604531682255
2000,6,5,9.7053021369452373
2000,6,6,11.5186598608335540
2000,6,7,14.7816500711237553
2000,6,8,18.7730559244503468
2000,6,9,30.9654791494062414
2000,6,10,48.9477064220183486
2000,6,11,67.6523437500000000
2000,6,12,83.2608695652173913
2000,6,13,101.1120689655172414
2000,6,14,100.6206896551724138
2000,6,15,129.3571428571428571
2000,6,16,138.8333333333333333
2000,6,17,138.0000000000000000
2000,6,19,
2000,6,20,
2000,7,1,23.1538461538461538
